audit_sample_id,p203_index_row_id,p202_audit_row_id,row_source,row_role,sample_id,observation_id,canonical_label,source,session_id,frame_index,tracklet_id,physical_key,raw_segmentation_color_left_path,raw_segmentation_greyscale_left_path,raw_segmentation_color_right_path,raw_segmentation_greyscale_right_path,raw_rgb_left_path,raw_depth_left_path,visibility_quality,mask_alignment_quality,depth_quality,occlusion_level,blur_level,reviewer_note,quality_blocker
p206_001,p203_00001,p202_00001,p193,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,forklift,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_003,2022-06-15__Hallway_Full_CCW::000007::rack_forklift_003,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW/Hallway_Full_CCW/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW/Hallway_Full_CCW/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW/Hallway_Full_CCW/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW/Hallway_Full_CCW/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW/Hallway_Full_CCW/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW/Hallway_Full_CCW/depth_left/000007.png",,,,,,,
p206_002,p203_00004,p202_00004,p193,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,warehouse rack,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_006,2022-06-23__Hallway_Straight_CCW::000007::warehouse_rack_006,"data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/depth_left/000007.png",,,,,,,
p206_003,p203_00011,p202_00011,p193,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_1_000007_001,obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_1_000007_001,barrier,hallway,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_1,7,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_1_001,2022-10-12__Hallway_Full_CW_Run_1::000007::barrier_001,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_1/Hallway_Full_CW_Run_1/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_1/Hallway_Full_CW_Run_1/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_1/Hallway_Full_CW_Run_1/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_1/Hallway_Full_CW_Run_1/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_1/Hallway_Full_CW_Run_1/image_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_1/Hallway_Full_CW_Run_1/depth_left/000007.png",,,,,,,
p206_004,p203_00073,p202_00073,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_001,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_001,barrier,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_001,2022-06-15__Aisle_CW_Run_2::000007::barrier_001,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/depth_left/000007.png",,,,,,,
p206_005,p203_00077,p202_00077,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_006,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_006,forklift,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_006,2022-06-23__Aisle_CW_Run_2::000007::forklift_006,"data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_2/Aisle_CW_Run_2/depth_left/000007.png",,,,,,,
p206_006,p203_00106,p202_00106,p193,observation,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_001,obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_001,work table,cross_month,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW,7,trk_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_001,2022-10-12__Aisle_CCW::000007::work_table_001,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CCW/Aisle_CCW/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CCW/Aisle_CCW/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CCW/Aisle_CCW/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CCW/Aisle_CCW/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CCW/Aisle_CCW/image_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CCW/Aisle_CCW/depth_left/000007.png",,,,,,,
p206_007,p203_00123,p202_00123,p199,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_003,obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_003,work table,hallway,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,7,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_003,2022-10-12__Hallway_Full_CW_Run_2::000007::work_table_003,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2/Hallway_Full_CW_Run_2/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2/Hallway_Full_CW_Run_2/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2/Hallway_Full_CW_Run_2/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2/Hallway_Full_CW_Run_2/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2/Hallway_Full_CW_Run_2/image_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2/Hallway_Full_CW_Run_2/depth_left/000007.png",,,,,,,
p206_008,p203_00126,p202_00126,p199,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_008,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_008,warehouse rack,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_008,2022-06-23__Hallway_Full_CW::000007::warehouse_rack_008,"data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW/Hallway_Full_CW/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW/Hallway_Full_CW/depth_left/000007.png",,,,,,,
p206_009,p203_00137,p202_00137,p199,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007_006,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007_006,warehouse rack,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_006,2022-06-23__Hallway_Straight_CW::000007::warehouse_rack_006,"data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CW/Hallway_Straight_CW/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CW/Hallway_Straight_CW/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CW/Hallway_Straight_CW/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CW/Hallway_Straight_CW/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CW/Hallway_Straight_CW/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CW/Hallway_Straight_CW/depth_left/000007.png",,,,,,,
p206_010,p203_00172,p202_00172,p199,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,barrier,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_004,2022-06-15__Aisle_CW_Run_1::000007::barrier_004,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/depth_left/000007.png",,,,,,,
p206_011,p203_00208,p202_00208,p199,observation,same_day:obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2_000007_005,obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2_000007_005,forklift,same_day,torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2,7,trk_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2_005,2022-06-15__Aisle_CCW_Run_2::000007::forklift_005,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CCW_Run_2/Aisle_CCW_Run_2/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CCW_Run_2/Aisle_CCW_Run_2/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CCW_Run_2/Aisle_CCW_Run_2/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CCW_Run_2/Aisle_CCW_Run_2/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CCW_Run_2/Aisle_CCW_Run_2/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Aisle_CCW_Run_2/Aisle_CCW_Run_2/depth_left/000007.png",,,,,,,
p206_012,p203_00220,p202_00220,p199,observation,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_000007_004,obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_000007_004,barrier,cross_month,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW,7,trk_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_004,2022-10-12__Aisle_CW::000007::barrier_004,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CW/Aisle_CW/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CW/Aisle_CW/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CW/Aisle_CW/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CW/Aisle_CW/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CW/Aisle_CW/image_left/000007.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Aisle_CW/Aisle_CW/depth_left/000007.png",,,,,,,
p206_013,p203_00225,p202_00225,p197_boundary,review_observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,warehouse rack,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_004,,"data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Aisle_CW_Run_1/Aisle_CW_Run_1/depth_left/000007.png",,,,,,,
p206_014,p203_00234,p202_00234,p197_boundary,review_observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_004,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_004,barrier,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_004,,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_color_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_greyscale_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_color_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW/Hallway_Full_CW/segmentation_greyscale_right/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW/Hallway_Full_CW/image_left/000007.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW/Hallway_Full_CW/depth_left/000007.png",,,,,,,
p206_015,p203_00235,p202_00235,p197_boundary,review_observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_004,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_004,work table,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW,1,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_004,,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_color_left/000001.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_greyscale_left/000001.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_color_right/000001.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/segmentation_greyscale_right/000001.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/image_left/000001.png","data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Straight_CCW/Hallway_Straight_CCW/depth_left/000001.png",,,,,,,
